Text Inputs : Specimen label,"22L.3"
General : Start Date,13/11/2018 5:14 PM

Time,Extension,Load,Segment ID,Total Cycle Count
(sec),(mm),(N),,
83.24000,-8.17901,-19.97394,22412,0
83.25999,-8.17568,-19.92979,22412,0
83.28000,-8.17235,-19.90164,22412,0
83.29999,-8.16898,-19.89196,22412,0
83.32000,-8.16560,-19.87484,22412,0
83.34000,-8.16227,-19.86564,22412,0
83.36000,-8.15896,-19.87614,22412,0
83.38000,-8.15564,-19.83894,22412,0
83.40000,-8.15229,-19.86972,22412,0
83.42000,-8.14894,-19.83524,22412,0
83.43999,-8.14561,-19.80184,22412,0
83.46000,-8.14230,-19.80198,22412,0
83.47999,-8.13898,-19.80768,22412,0
83.50000,-8.13561,-19.77718,22412,0
83.52000,-8.13222,-19.77428,22412,0
83.54000,-8.12886,-19.73137,22412,0
83.56000,-8.12552,-19.72658,22412,0
83.57999,-8.12220,-19.69255,22412,0
83.60000,-8.11887,-19.67134,22412,0
83.61999,-8.11554,-19.70800,22412,0
83.64000,-8.11224,-19.68347,22412,0
83.65999,-8.10896,-19.63270,22412,0
83.68000,-8.10568,-19.59913,22412,0
83.70000,-8.10235,-19.60429,22412,0
83.72000,-8.09900,-19.61877,22412,0
83.74000,-8.09566,-19.64937,22412,0
83.75999,-8.09234,-19.62551,22412,0
83.78000,-8.08903,-19.57766,22412,0
83.79999,-8.08569,-19.55061,22412,0
83.82000,-8.08235,-19.51731,22412,0
83.84000,-8.07901,-19.52470,22412,0
83.86000,-8.07566,-19.48526,22412,0
83.88000,-8.07232,-19.49589,22412,0
83.90000,-8.06898,-19.48075,22412,0
83.92000,-8.06563,-19.47099,22412,0
83.93999,-8.06231,-19.43252,22412,0
83.96000,-8.05900,-19.41811,22412,0
83.97999,-8.05568,-19.41223,22412,0
84.00000,-8.05233,-19.40207,22412,0
84.02000,-8.04897,-19.42979,22412,0
84.04000,-8.04561,-19.43571,22412,0
84.06000,-8.04226,-19.37421,22412,0
84.07999,-8.03891,-19.34526,22412,0
84.10000,-8.03556,-19.35094,22412,0
84.11999,-8.03224,-19.31534,22412,0
84.14000,-8.02893,-19.27361,22412,0
84.15999,-8.02562,-19.29379,22412,0
84.18000,-8.02229,-19.29332,22412,0
84.20000,-8.01896,-19.29405,22412,0
84.22000,-8.01562,-19.30374,22412,0
84.24000,-8.01227,-19.30044,22412,0
84.25999,-8.00893,-19.26218,22412,0
84.28000,-8.00556,-19.22765,22412,0
84.29999,-8.00218,-19.22723,22412,0
84.32000,-7.99882,-19.19163,22412,0
84.34000,-7.99551,-19.18822,22412,0
84.36000,-7.99221,-19.16782,22412,0
84.38000,-7.98891,-19.15207,22412,0
84.40000,-7.98559,-19.12399,22412,0
84.42000,-7.98226,-19.14574,22412,0
84.43999,-7.97894,-19.12555,22412,0
84.46000,-7.97564,-19.13148,22412,0
84.47999,-7.97234,-19.11430,22412,0
84.50000,-7.96898,-19.09926,22412,0
84.52000,-7.96563,-19.06479,22412,0
84.54000,-7.96229,-19.07112,22412,0
84.56000,-7.95896,-19.04311,22412,0
84.57999,-7.95564,-18.98080,22412,0
84.60000,-7.95231,-18.96314,22412,0
84.61999,-7.94898,-18.95468,22412,0
84.64000,-7.94566,-18.95914,22412,0
